Date/Time,0cm EAG Soil Moisture [%] ,-10cm EAG Soil Moisture [%],-20cm EAG Soil Moisture [%],-30cm EAG Soil Moisture [%],-40cm EAG Soil Moisture [%],-50cm EAG Soil Moisture [%]
2019-06-08 05:00:00,0.89,20.45,30.31,44.96,47.46,50.57
2019-06-08 06:00:00,0.9,20.39,30.23,44.94,47.46,50.58
2019-06-08 07:00:00,0.91,20.34,30.14,44.89,47.46,50.58
2019-06-08 08:00:00,0.95,20.32,30.03,44.85,47.45,50.59
2019-06-08 09:00:00,0.99,20.34,29.88,44.79,47.43,50.6
2019-06-08 10:00:00,1.01,20.4,29.64,44.71,47.42,50.6
2019-06-08 11:00:00,0.98,20.49,29.39,44.59,47.39,50.56
2019-06-08 12:00:00,0.96,20.55,29.14,44.46,47.34,50.57
2019-06-08 13:00:00,0.94,20.58,28.88,44.34,47.29,50.56
2019-06-08 14:00:00,0.9,20.52,28.59,44.19,47.24,50.54
2019-06-08 15:00:00,0.86,20.35,28.35,44.08,47.19,50.54
2019-06-08 16:00:00,0.85,20.13,28.15,43.99,47.17,50.52
2019-06-08 17:00:00,0.85,19.91,27.95,43.9,47.14,50.5
2019-06-08 18:00:00,0.84,19.64,27.76,43.81,47.12,50.49
2019-06-08 19:00:00,0.83,19.42,27.64,43.75,47.11,50.46
2019-06-08 20:00:00,0.82,19.19,27.56,43.71,47.1,50.43
2019-06-08 21:00:00,0.81,18.99,27.53,43.7,47.09,50.42
2019-06-08 22:00:00,0.82,18.79,27.47,43.69,47.09,50.42
2019-06-08 23:00:00,0.82,18.62,27.41,43.67,47.11,50.41
2019-06-09 00:00:00,0.83,18.47,27.34,43.66,47.11,50.4
2019-06-09 01:00:00,0.83,18.34,27.28,43.64,47.11,50.4
2019-06-09 02:00:00,0.83,18.25,27.2,43.62,47.13,50.41
2019-06-09 03:00:00,0.84,18.15,27.14,43.59,47.12,50.41
2019-06-09 04:00:00,0.84,18.05,27.08,43.55,47.11,50.42
2019-06-09 05:00:00,0.85,17.97,27.02,43.52,47.1,50.4
2019-06-09 06:00:00,0.86,17.89,26.96,43.5,47.1,50.4
2019-06-09 07:00:00,0.87,17.83,26.88,43.44,47.1,50.39
2019-06-09 08:00:00,0.9,17.81,26.81,43.41,47.09,50.4
2019-06-09 09:00:00,0.95,17.84,26.7,43.31,47.07,50.4
2019-06-09 10:00:00,0.95,17.88,26.51,43.15,47.05,50.39
2019-06-09 11:00:00,0.92,17.92,26.27,42.94,47.03,50.37
2019-06-09 12:00:00,0.9,17.87,25.98,42.69,46.98,50.37
2019-06-09 13:00:00,0.85,17.75,25.65,42.41,46.91,50.36
2019-06-09 14:00:00,0.81,17.59,25.33,42.12,46.83,50.33
2019-06-09 15:00:00,0.78,17.16,25,41.85,46.76,50.31
2019-06-09 16:00:00,0.76,16.68,24.71,41.59,46.7,50.29
2019-06-09 17:00:00,0.75,16.28,24.49,41.36,46.65,50.28
2019-06-09 18:00:00,0.74,15.92,24.29,41.15,46.59,50.27
2019-06-09 19:00:00,0.73,15.63,24.13,40.97,46.58,50.29
2019-06-09 20:00:00,0.72,15.39,24.04,40.88,46.58,50.28
2019-06-09 21:00:00,0.71,15.18,24.01,40.84,46.55,50.26
