soilType,plotCluster ,wine,flavorType,sensoryFlavor,judgeNumber,ratioFlavorJudge
sandySiltyClay,85,2017_RUN ST2_11_R,olfactory,socks,1,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,olfactory,socks,1,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,olfactory,rotPepper,1,NaN
sandySiltyClay,85,2017_RUN ST2_11_R,olfactory,rotPepper,1,1.00
sandySiltyClay,85,2017_RUN_ST2_22_R,olfactory,rotPepper,1,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,taste,bitterness,6,0.33
sandySiltyClay,85,2017_RUN ST2_11_R,taste,bitterness,6,0.33
sandySiltyClay,85,2017_RUN_ST2_22_R,taste,bitterness,6,0.33
sandySiltyClay,85,2017_RUN ST3_10_R,taste,astringent,6,0.50
sandySiltyClay,85,2017_RUN ST2_11_R,taste,astringent,6,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,taste,astringent,6,0.67
sandySiltyClay,85,2017_RUN ST3_10_R,taste,sweetness,4,0.25
sandySiltyClay,85,2017_RUN ST2_11_R,taste,sweetness,4,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,taste,sweetness,4,0.75
sandySiltyClay,85,2017_RUN ST3_10_R,taste,fat,3,0.33
sandySiltyClay,85,2017_RUN ST2_11_R,taste,fat,3,0.33
sandySiltyClay,85,2017_RUN_ST2_22_R,taste,fat,3,0.67
sandySiltyClay,85,2017_RUN ST3_10_R,taste,balanced,3,0.33
sandySiltyClay,85,2017_RUN ST2_11_R,taste,balanced,3,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,taste,balanced,3,0.67
sandySiltyClay,85,2017_RUN ST3_10_R,taste,acid,2,1.00
sandySiltyClay,85,2017_RUN ST2_11_R,taste,acid,2,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,taste,acid,2,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,taste,persistent,2,0.50
sandySiltyClay,85,2017_RUN ST2_11_R,taste,persistent,2,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,taste,persistent,2,1.00
sandySiltyClay,85,2017_RUN ST3_10_R,taste,aromatic,2,NaN
sandySiltyClay,85,2017_RUN ST2_11_R,taste,aromatic,2,0.50
sandySiltyClay,85,2017_RUN_ST2_22_R,taste,aromatic,2,0.50
sandySiltyClay,85,2017_RUN ST3_10_R,taste,Chaud,1,NaN
sandySiltyClay,85,2017_RUN ST2_11_R,taste,Chaud,1,1.00
sandySiltyClay,85,2017_RUN_ST2_22_R,taste,Chaud,1,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,taste,Herbacé,1,NaN
sandySiltyClay,85,2017_RUN ST2_11_R,taste,Herbacé,1,1.00
sandySiltyClay,85,2017_RUN_ST2_22_R,taste,Herbacé,1,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,taste,alcohol,1,1.00
sandySiltyClay,85,2017_RUN ST2_11_R,taste,alcohol,1,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,taste,alcohol,1,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,taste,dilute,1,1.00
sandySiltyClay,85,2017_RUN ST2_11_R,taste,dilute,1,1.00
sandySiltyClay,85,2017_RUN_ST2_22_R,taste,dilute,1,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,taste,acid,1,NaN
sandySiltyClay,85,2017_RUN ST2_11_R,taste,acid,1,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,taste,acid,1,1.00
sandySiltyClay,85,2017_RUN ST3_10_R,taste,bitterness,1,NaN
sandySiltyClay,85,2017_RUN ST2_11_R,taste,bitterness,1,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,taste,bitterness,1,1.00
sandySiltyClay,85,2017_RUN ST3_10_R,taste,astringent,1,NaN
sandySiltyClay,85,2017_RUN ST2_11_R,taste,astringent,1,1.00
sandySiltyClay,85,2017_RUN_ST2_22_R,taste,astringent,1,NaN
sandySiltyClay,85,2017_RUN ST3_10_R,taste,effervescent,1,NaN
sandySiltyClay,85,2017_RUN ST2_11_R,taste,effervescent,1,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,taste,effervescent,1,1.00
sandySiltyClay,85,2017_RUN ST3_10_R,taste,sparkling,1,1.00
sandySiltyClay,85,2017_RUN ST2_11_R,taste,sparkling,1,NaN
sandySiltyClay,85,2017_RUN_ST2_22_R,taste,sparkling,1,NaN
sandySiltyClay,72,2017_BOUQ_CABES,visual,purplish,4,1.00
sandySiltyClay,72,2017_BOUQ_MARS,visual,purplish,4,NaN
sandySiltyClay,72,2017_BOUQ_CABES,visual,dark,4,1.00
sandySiltyClay,72,2017_BOUQ_MARS,visual,dark,4,NaN
sandySiltyClay,72,2017_BOUQ_CABES,visual,pureRed (cherry),1,NaN
sandySiltyClay,72,2017_BOUQ_MARS,visual,pureRed (cherry),1,1.00
sandySiltyClay,72,2017_BOUQ_CABES,olfactory,fruity,2,1.00
sandySiltyClay,72,2017_BOUQ_MARS,olfactory,fruity,2,NaN
sandySiltyClay,72,2017_BOUQ_CABES,olfactory,cookedFruits,2,0.50
sandySiltyClay,72,2017_BOUQ_MARS,olfactory,cookedFruits,2,0.50
sandySiltyClay,72,2017_BOUQ_CABES,olfactory,vegetal,1,1.00
sandySiltyClay,72,2017_BOUQ_MARS,olfactory,vegetal,1,NaN
sandySiltyClay,72,2017_BOUQ_CABES,olfactory,spicy,1,1.00
sandySiltyClay,72,2017_BOUQ_MARS,olfactory,spicy,1,NaN
