"varietyCode","varietyName","mainSynonym","typeCode","speciesCode","varUnit","qualifyingVariety","use","sex","skinColor","pulpColor","flavour","seeds","breeder","breederMother","crossbreedingOrder","fatherBreeder","refBreederParent","realMother","varCodeMother","realFather","varCodeFather","refRealParent","crossingCode","yearBreeding","varGeneticComposition","countryOrigin","regionOrigin","departmentOrigin","siregallOrigin","frenchRegistration","europeanRegistration","evdb_19-BREDCODE","evdb_20-SAMPSTAT","evdb_E-VARNUMB_vivc_KENN_NR"
"2052","Giro sardo",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA","ITG2",NULL,NULL,NULL,"oui",NULL,"300","4811"
"2109","Papazkarasi",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Alba imputotato","44","Prokupac","1630",NULL,NULL,NULL,NULL,"TUR",NULL,NULL,NULL,NULL,"oui",NULL,"300","8923"
"2144","Kanigl grün",NULL,"typ1","esp1","Plante","cv.","C","F","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUT",NULL,NULL,NULL,NULL,NULL,NULL,"300","17312"
"2172","Neuburger",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Sylvaner","270","Velteliner rouge","284",NULL,NULL,NULL,NULL,"AUT",NULL,NULL,NULL,NULL,"oui",NULL,"300","8501"
"2246","Francuse",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Alba imputotato","44","Gouais blanc = Heunisch weiss","211",NULL,NULL,NULL,NULL,"ROU","ROX1","ROX12",NULL,NULL,"oui",NULL,"300","4221"
"2278","Karmir Kakhani",NULL,"typ1","esp1","Plante","cv.","T","F","Rg","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,"Tana kouzy","2661","Sevan","2784",NULL,NULL,NULL,NULL,"ARM",NULL,NULL,NULL,NULL,NULL,NULL,"300","6000"
"2310","Razachie alba",NULL,"typ1","esp1","Plante","cv.","T","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ROU",NULL,NULL,NULL,NULL,NULL,NULL,"300",NULL
"2316","Skiadopoulo",NULL,"typ1","esp1","Plante","cv.","CT","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GRC","GR22","GR221",NULL,NULL,"oui",NULL,"300","11849"
"2360","Vernaccia di San Gimignano",NULL,"typ1","esp1","Plante","cv.","C","H","B","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ITA","ITE1",NULL,NULL,NULL,"oui",NULL,"300","12998"
"2614","Tarragoni",NULL,"typ1","esp1","Plante","cv.","C","H","N","inc","sim","pep",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ESP","ES51",NULL,NULL,NULL,NULL,NULL,"300","12266"
